2;4;0;52;0.9;1000;53
4;8;0;114;1.9;1000;114
8;16;0;235;3.9;1000;235
10;20;0;294;4.9;1000;294
20;40;0;596;9.9;1000;596
30;60;0;894;14.9;1000;894
40;80;0;1194;19.9;1000;1194
50;100;0;1495;24.9;1000;1495
100;200;0;2998;50;1000;2999
200;400;0;6006;100.1;1000;6009
500;1000;0;15018;250.3;1000;15024
1000;2000;0;30045;500.8;1000;30058
