2;5;5;19;0;8.0;139
4;10;10;33;0;8.0;147
8;18;18;63;1;8.0;183
10;22;22;75;1;8.0;200
20;42;42;154;2;8.0;315
30;62;62;225;3;8.0;385
40;82;82;304;5;8.0;482
50;102;102;369;6;8.0;557
100;202;202;757;12;8.0;1035
200;402;402;1468;24;8.0;1894
500;1002;1002;3613;60;8.0;4610
1000;2001;2001;7395;123;8.0;9915
2000;4002;3326;14689;244;6.64;24369
5000;10002;3326;36067;601;2.66;71953
